algoritm,prop_scale,accuracy,auc,n_amino_acids
hmm,hoop_woods,0.42745055557275063,0.40993027032538454,1
nn,emini,0.6509950787706212,0.6038038348941924,1
dl,parker,0.6511034369468689,0.5999439957374033,1
dt,levitt,0.6092420068711505,0.558590917818512,1
rf,hoop_woods,0.6208486799343836,0.59486820472928,1
svm,emini,0.6509950787706212,0.47673156849992665,1
hmm,parker,0.5750255346807391,0.5915334272093615,1
nn,levitt,0.6509950787706212,0.6018996876468737,1
dl,hoop_woods,0.6509950757026672,0.5736042680746942,1
dt,emini,0.6399455260144232,0.6109738319032338,1
rf,parker,0.5984864898325544,0.5685729919049656,1
svm,levitt,0.6509950787706212,0.5715100330858988,1
hmm,hoop_woods,0.5779349407285895,0.5925639683814486,1
nn,emini,0.6509796032065369,0.4885272517331883,1
dl,parker,0.6506236791610718,0.6012809725032676,1
dt,levitt,0.6092420068711505,0.5586927111211765,1
rf,hoop_woods,0.6208951066266365,0.595097722308431,1
svm,emini,0.6509950787706212,0.47673156849992665,1
hmm,parker,0.42534587885728437,0.40706298188287604,1
nn,levitt,0.6509950787706212,0.6017930770860642,1
dl,hoop_woods,0.6509950757026672,0.6010748823994498,1
dt,emini,0.6399455260144232,0.6109665696494065,1
rf,parker,0.5984091120121329,0.5684622508351755,1
svm,levitt,0.6509950787706212,0.5715100330858988,1
